TOA5,CR1000,CR1000,86673,CR1000.Std.31.03,CPU:Chieppa_8sensors variable voltage.CR1,13783,Quantum,,,,
TIMESTAMP,RECORD,BattV_Min,PanelT,PPF(1),PPF(2),PPF(3),PPF(4),PPF(5),PPF(6),PPF(7),PPF(8)
TS,RN,,,,,,,,,,
,,Min,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
6/7/2024 12:35,84124,13.60268,22.22403,882.1616,850.5338,365.8577,523.1424,330.8106,757.3597,813.777,333.375
6/7/2024 12:40,84125,13.60839,22.30761,881.2736,849.6469,370.1178,476.9648,266.69,756.4764,813.7463,603.4716
6/7/2024 12:45,84126,13.60317,22.3641,881.3213,848.8381,408.6048,274.3978,523.1509,755.6625,812.9355,591.5367
6/7/2024 12:50,84127,13.60774,22.39121,881.2303,848.7504,458.1372,446.1709,438.4783,755.5845,813.7064,610.2798
6/7/2024 12:55,84128,13.60777,22.41832,881.2456,848.7652,426.5195,516.2681,270.9553,755.5976,812.8658,330.7876
6/7/2024 13:00,84129,13.60839,22.41832,881.2579,848.777,426.5254,257.2828,516.2752,755.6081,813.7318,328.228
6/7/2024 13:05,84130,13.60246,22.39121,882.0841,847.8948,430.7852,347.0215,400.0149,755.5836,813.7054,287.1902
6/7/2024 13:10,84131,13.60826,22.30761,881.2693,847.9332,456.4479,493.2031,265.8339,755.6179,812.8876,482.0911
6/7/2024 13:15,84132,13.60859,22.22403,881.2582,847.0678,450.4589,243.6068,508.5826,755.6084,812.8774,594.9134
6/7/2024 13:20,84133,13.60293,22.11332,882.133,847.087,442.7761,341.912,423.1161,755.6255,812.041,616.2964
6/7/2024 13:25,84134,13.60262,21.97325,881.2872,847.0956,446.1997,494.0679,270.968,755.6332,812.9041,417.1369
6/7/2024 13:30,84135,13.60839,21.91903,880.4418,847.9595,449.6237,252.1654,511.1691,755.6413,812.9127,327.3876
6/7/2024 13:35,84136,13.60873,21.88965,881.3212,847.9832,454.7652,365.8637,500.0707,755.6624,812.9355,295.7683
6/7/2024 13:40,84137,13.60354,21.83543,881.3329,847.9944,435.9649,500.9322,270.9821,755.6725,812.9463,610.3508
6/7/2024 13:45,84138,13.60907,21.83543,880.4819,848.853,423.1442,265.8542,400.0636,755.6757,812.095,590.6923
6/7/2024 13:50,84139,13.60402,21.78121,881.3953,848.9094,424.0273,377.863,490.709,755.726,813.0038,465.917
6/7/2024 13:55,84140,13.60905,21.75184,882.2068,848.8676,424.0064,506.0721,235.0842,755.6888,813.8187,327.4082
6/7/2024 14:00,84141,13.60914,21.78121,881.3695,848.8845,426.5794,270.1385,269.2836,755.7039,812.98,311.1722
6/7/2024 14:05,84142,13.60913,21.86255,881.3504,848.8661,448.7963,409.4732,487.2645,755.6874,812.9624,631.7342
6/7/2024 14:10,84143,13.60399,21.97325,882.2317,847.1818,451.3744,514.6351,335.9662,755.7101,812.1319,605.252
6/7/2024 14:15,84144,13.60912,22.08395,881.3403,848.0016,435.1137,271.8392,260.7263,755.6788,812.9531,379.5491
6/7/2024 14:20,84145,13.60825,22.16755,881.3294,847.1362,407.7538,410.3182,508.6237,755.6694,813.7979,327.3997
6/7/2024 14:25,84146,13.60311,22.22403,882.0938,847.0494,380.3602,514.5547,394.0361,755.592,813.7144,370.1033
6/7/2024 14:30,84147,13.60863,22.22403,881.3026,847.1104,351.3243,272.6823,264.9891,755.6464,812.9183,615.4586
6/7/2024 14:35,84148,13.60873,22.19465,881.2495,847.0594,319.6773,438.4879,502.5943,755.601,812.0146,623.9691
6/7/2024 14:40,84149,13.60919,22.16755,882.1269,846.2264,278.6564,517.9931,405.1629,755.6203,812.8902,330.7976
6/7/2024 14:45,84150,13.60812,22.11332,881.2853,844.5294,243.6143,274.3866,270.1126,755.6316,813.7571,328.2382
6/7/2024 14:50,84151,13.60825,22.05684,879.6266,842.8687,220.5478,520.5954,518.8857,755.6754,812.9494,435.9666
6/7/2024 14:55,84152,13.60849,22.00036,880.4956,842.0273,206.0189,452.2157,490.684,755.6875,812.9625,590.7014
6/7/2024 15:00,84153,13.60864,21.91903,880.4764,842.009,217.982,275.2557,270.1267,755.671,812.9447,570.1726
6/7/2024 15:05,84154,13.60947,21.83543,879.6516,842.0378,233.377,524.8845,435.1241,755.6968,813.8273,320.5728
6/7/2024 15:10,84155,13.60914,21.78121,880.4872,842.0193,235.0815,406.0499,493.2438,755.6803,813.8095,302.614
6/7/2024 15:15,84156,13.60972,21.72473,880.4787,841.1563,235.0793,262.4339,234.2244,755.673,812.9468,623.1738
6/7/2024 15:20,84157,13.60917,21.67051,880.4952,840.3173,235.0837,495.8128,260.7292,755.6871,812.1072,630.0242
6/7/2024 15:25,84158,13.60902,21.72473,879.6125,841.1454,210.2864,323.9778,485.5392,755.6632,812.9363,286.3656
6/7/2024 15:30,84159,13.6095,21.83543,880.4854,839.4531,217.9842,243.6294,388.9523,755.6787,813.8079,293.2102
6/7/2024 15:35,84160,13.6096,21.91903,881.3446,839.4573,258.163,493.2452,270.1309,755.6825,812.9571,605.2299
6/7/2024 15:40,84161,13.60935,22.00036,880.5208,840.3417,301.7707,264.1562,500.1016,755.7091,812.1308,590.7183
6/7/2024 15:45,84162,13.60958,22.08395,881.3234,840.2919,357.3164,279.5274,516.3136,755.6643,812.9375,405.1865
6/7/2024 15:50,84163,13.60888,22.14043,881.3019,841.1262,418.8535,493.2213,270.1178,755.6459,813.7725,327.3896
6/7/2024 15:55,84164,13.60817,22.19465,880.4561,841.1348,435.0992,240.2021,432.5348,755.6536,812.926,418.8578
6/7/2024 16:00,84165,13.60831,22.25113,881.3003,842.8342,441.9324,353.033,521.4289,755.6445,812.9162,591.5226
6/7/2024 16:05,84166,13.60805,22.19465,573.5779,842.8433,450.4852,511.1767,269.2654,755.6526,812.9249,604.3511
6/7/2024 16:10,84167,13.60796,22.11332,577.0016,553.9216,450.4887,274.3963,413.7316,755.6584,530.8416,288.9282
6/7/2024 16:15,84168,13.60864,22.02973,551.3505,441.0804,447.064,476.9822,483.8207,251.3132,296.618,327.3911
6/7/2024 16:20,84169,13.60878,21.94614,288.0797,308.5958,420.5793,487.2565,389.8052,270.1282,536.837,501.7887
6/7/2024 16:25,84170,13.60939,21.86255,281.2489,587.2887,419.7362,274.41,253.8934,465.8986,295.7815,589.8533
6/7/2024 16:30,84171,13.60322,21.75184,588.9811,406.9013,429.9818,494.0944,270.1277,497.5137,536.8361,495.8041
6/7/2024 16:35,84172,13.60874,21.67051,467.6061,315.4418,216.2785,242.779,235.0853,441.9604,298.3447,327.4098
6/7/2024 16:40,84173,13.60941,21.5598,311.177,595.8527,233.3828,413.7628,324.0002,261.5938,536.8658,417.1824
6/7/2024 16:45,84174,13.60962,21.47847,577.0284,310.3131,354.7657,473.5908,435.9771,265.0056,263.296,589.8513
6/7/2024 16:50,84175,13.61027,21.47847,331.6995,558.2469,420.6087,238.5159,503.5336,405.2206,462.4986,511.2276
6/7/2024 16:55,84176,13.61066,21.61628,345.3646,311.1701,323.1382,494.9656,500.9497,500.9497,491.5462,327.4125
6/7/2024 17:00,84177,13.61068,21.75184,577.0341,559.0819,234.2331,274.4118,486.4184,533.436,278.6861,421.4486
6/7/2024 17:05,84178,13.60382,21.91903,310.3304,310.3304,268.4401,524.9114,489.8604,282.9734,575.3508,590.7391
6/7/2024 17:10,84179,13.60968,22.05684,440.256,563.3566,439.4011,411.1905,460.7727,277.8314,259.8792,583.0186
6/7/2024 17:15,84180,13.6094,22.11332,583.0056,271.8413,449.6494,241.0668,282.9543,390.665,571.8925,299.1964
6/7/2024 17:20,84181,13.60967,22.16755,304.3153,569.309,222.2527,494.9398,266.7033,500.0687,270.1226,295.7671
6/7/2024 17:25,84182,13.60881,22.14043,464.1407,323.9583,229.9335,262.4148,270.1077,520.5557,566.7133,576.1158
6/7/2024 17:30,84183,13.60372,22.05684,606.8964,515.4345,401.7483,462.4379,237.6298,245.3229,266.6925,590.6555
6/7/2024 17:35,84184,13.60325,21.94614,320.5605,358.1729,420.5754,440.2365,326.5443,276.9643,568.4606,519.7355
6/7/2024 17:40,84185,13.6029,21.83543,614.6075,489.8055,272.684,238.4917,429.9688,365.8582,293.1994,323.9725
6/7/2024 17:45,84186,13.6084,21.75184,432.5351,371.8434,234.2186,494.9364,501.7749,512.0326,536.8222,306.0228
