"","hour","treatment","par_mean","par_sd","par_se"
"1","00","all_par_mean_HTVHLV",0,0,0
"2","01","all_par_mean_HTVHLV",0,0,0
"3","02","all_par_mean_HTVHLV",0,0,0
"4","03","all_par_mean_HTVHLV",0,0,0
"5","04","all_par_mean_HTVHLV",0,0,0
"6","05","all_par_mean_HTVHLV",0,0,0
"7","06","all_par_mean_HTVHLV",70.2471977054398,34.482559425668,2.03190430021316
"8","07","all_par_mean_HTVHLV",80.6232051443287,24.6850130371163,1.45457834268527
"9","08","all_par_mean_HTVHLV",218.599703711111,73.097530430892,4.30731328797281
"10","09","all_par_mean_HTVHLV",241.724803854167,56.5196178198377,3.3304504192066
"11","10","all_par_mean_HTVHLV",418.431601087963,95.6025412050523,5.63343376539657
"12","11","all_par_mean_HTVHLV",446.378231597222,78.5891447217466,4.6309097633665
"13","12","all_par_mean_HTVHLV",818.595109259259,139.165555915365,8.20040902461255
"14","13","all_par_mean_HTVHLV",874.032749421296,35.5120663228537,2.09256857590302
"15","14","all_par_mean_HTVHLV",872.927765972222,35.446774239531,2.08872120299675
"16","15","all_par_mean_HTVHLV",875.943822685185,32.4404040087619,1.91156913825223
"17","16","all_par_mean_HTVHLV",504.224965046296,149.773240293129,8.82547282096282
"18","17","all_par_mean_HTVHLV",450.300040856481,70.7222678160904,4.16734959613739
"19","18","all_par_mean_HTVHLV",270.083633634259,80.2634247748105,4.72956766162707
"20","19","all_par_mean_HTVHLV",243.706375763889,57.1157386485213,3.365577175904
"21","20","all_par_mean_HTVHLV",102.824801963426,60.0293581663536,3.53726385247539
"22","21","all_par_mean_HTVHLV",79.1221376268519,26.4244678933134,1.55707670305068
"23","22","all_par_mean_HTVHLV",10.7498304232639,26.5507573537364,1.56451838087214
"24","23","all_par_mean_HTVHLV",0,0,0
