"","hour","treatment","par_mean","par_sd","par_se"
"1","00","all_par_mean_HTVLLV",0,0,0
"2","01","all_par_mean_HTVLLV",0,0,0
"3","02","all_par_mean_HTVLLV",0,0,0
"4","03","all_par_mean_HTVLLV",0,0,0
"5","04","all_par_mean_HTVLLV",0,0,0
"6","05","all_par_mean_HTVLLV",0,0,0
"7","06","all_par_mean_HTVLLV",139.209796886574,65.3934336221794,3.85334502994295
"8","07","all_par_mean_HTVLLV",161.416870196759,46.2000259717094,2.72236263796586
"9","08","all_par_mean_HTVLLV",399.767308981482,112.13613603222,6.6076851837033
"10","09","all_par_mean_HTVLLV",428.4630178125,79.7635492578711,4.70011221431233
"11","10","all_par_mean_HTVLLV",433.886360173611,75.3644546484954,4.44089307853143
"12","11","all_par_mean_HTVLLV",453.069955092593,73.7009428925364,4.34286970826291
"13","12","all_par_mean_HTVLLV",442.975721875,78.3605795864968,4.61744143361001
"14","13","all_par_mean_HTVLLV",444.053658912037,79.9929388284378,4.71362912438575
"15","14","all_par_mean_HTVLLV",438.687336458333,74.8781932284686,4.41223984957056
"16","15","all_par_mean_HTVLLV",435.922957638889,71.6352044380255,4.22114490248437
"17","16","all_par_mean_HTVLLV",444.738674074074,77.8764172949021,4.58891189697822
"18","17","all_par_mean_HTVLLV",438.056233101852,67.9452297195669,4.00371105699862
"19","18","all_par_mean_HTVLLV",433.068896875,81.1723791443267,4.78312831149991
"20","19","all_par_mean_HTVLLV",431.274233796296,77.0152946496787,4.53816975848899
"21","20","all_par_mean_HTVLLV",196.658414849537,98.0180052964366,5.77576635195744
"22","21","all_par_mean_HTVLLV",160.7446378125,45.946774259659,2.70743963772103
"23","22","all_par_mean_HTVLLV",21.4194959606481,55.0997108159809,3.24678159661649
"24","23","all_par_mean_HTVLLV",0,0,0
