date.time.post,ppf1.ch1.llv,ppf4.ch2.llv,ppf5.ch1.hlv,ppf6.ch2.hlv
8/11/2024 12:55,608.6475,338.5174,944.6004,906.1325
8/11/2024 13:00,426.5932,331.6997,950.6445,906.1899
8/11/2024 13:05,653.9552,325.6953,948.8762,906.134
8/11/2024 13:10,759.9807,349.6424,945.4877,907.0186
8/11/2024 13:15,553.9614,372.7271,945.4958,907.0263
8/11/2024 13:20,426.5776,469.3209,949.755,907.0118
8/11/2024 13:25,467.6211,573.6266,951.485,907.0311
8/11/2024 13:30,807.8904,683.0735,945.531,907.0601
8/11/2024 13:35,785.6733,701.036,945.5436,907.0722
8/11/2024 13:40,474.4827,667.6955,947.2556,908.784
8/11/2024 13:45,426.5829,667.6577,948.9117,909.5875
8/11/2024 13:50,592.4194,667.6473,949.7517,910.428
8/11/2024 13:55,760.8355,686.4617,945.4877,911.2928
8/11/2024 14:00,642.8984,715.5664,945.5394,911.3427
8/11/2024 14:05,427.4466,702.7222,949.7864,910.4612
8/11/2024 14:10,645.4445,692.4636,948.9316,910.4614
8/11/2024 14:15,761.7077,706.1398,945.5093,909.6038
8/11/2024 14:20,403.498,714.6703,948.9044,909.5804
8/11/2024 14:25,383.8328,713.8093,949.751,910.4274
8/11/2024 14:30,813.0146,715.5554,944.67,910.4738
8/11/2024 14:35,804.4661,706.152,943.8157,909.6195
8/11/2024 14:40,427.4423,654.8416,948.0669,910.452
8/11/2024 14:45,426.5898,539.4352,950.6371,910.4573
8/11/2024 14:50,553.1161,414.6233,950.6415,910.4615
8/11/2024 14:55,760.8898,329.1489,942.9904,910.5029
8/11/2024 15:00,813.0733,373.6205,943.8832,908.8296
8/11/2024 15:05,467.6434,375.3116,947.2558,907.0744
8/11/2024 15:10,427.4684,355.6537,949.8349,906.2331
8/11/2024 15:15,496.6925,330.8434,950.6404,906.186
8/11/2024 15:20,760.8771,346.2418,943.8295,907.0681
8/11/2024 15:25,566.7914,326.5676,945.5073,906.1824
8/11/2024 15:30,425.7194,341.9433,950.6024,906.1498
8/11/2024 15:35,797.6005,371.0167,945.4942,905.315
8/11/2024 15:40,790.7485,374.4301,943.769,906.155
8/11/2024 15:45,426.5634,374.4184,949.7234,905.2719
8/11/2024 15:50,556.4964,374.4169,950.5745,906.1232
8/11/2024 15:55,760.0159,373.5962,944.6768,905.3508
8/11/2024 16:00,571.9022,367.5903,945.4765,905.298
8/11/2024 16:05,420.5809,336.8067,669.3392,495.8068
8/11/2024 16:10,515.4979,334.2614,458.2203,331.6968
8/11/2024 16:15,799.3679,446.2781,366.7688,449.6978
8/11/2024 16:20,757.4825,643.7746,659.1636,592.4778
8/11/2024 16:25,759.1846,670.2711,320.6016,564.2588
8/11/2024 16:30,754.0328,663.4121,629.2156,311.1882
8/11/2024 16:35,756.5927,688.2001,344.5275,294.088
8/11/2024 16:40,754.0388,521.5007,615.5419,638.6247
8/11/2024 16:45,757.4557,363.3394,346.2411,635.2028
8/11/2024 16:50,762.5639,360.7645,616.3773,306.9063
8/11/2024 16:55,807.8573,367.5964,345.3697,312.8844
8/11/2024 17:00,765.0892,367.5848,618.9102,623.1844
8/11/2024 17:05,650.566,343.663,305.1933,634.3232
8/11/2024 17:10,530.8625,335.1016,635.1544,312.8755
8/11/2024 17:15,419.7403,389.8199,398.3686,342.8022
8/11/2024 17:20,412.0504,556.5245,546.266,596.7037
8/11/2024 17:25,437.7072,706.9996,425.7386,604.412
8/11/2024 17:30,518.8996,664.2257,572.7557,288.9425
8/11/2024 17:35,592.4677,683.0905,362.4911,309.4853
8/11/2024 17:40,676.2654,604.4496,628.3882,575.3813
8/11/2024 17:45,718.9961,401.8171,321.4537,595.0312
8/11/2024 17:50,748.0533,353.0811,642.0435,466.7852
8/11/2024 17:55,740.358,370.179,322.3036,330.8528
8/11/2024 18:00,686.4742,347.939,609.5344,386.4089
8/11/2024 18:05,586.4719,336.8366,160.7241,312.0441
8/11/2024 18:10,516.3721,408.6521,332.5642,288.1083
8/11/2024 18:15,460.8021,471.0612,223.9892,114.5593
8/11/2024 18:20,467.6088,538.5622,288.9429,240.2159
8/11/2024 18:25,482.9912,602.6705,243.6327,335.1019
8/11/2024 18:30,626.6111,706.9678,294.9261,156.4391
8/11/2024 18:35,802.7507,659.1276,182.0936,211.1602
8/11/2024 18:40,752.3176,669.3917,388.9824,356.496
8/11/2024 18:45,755.7418,665.1212,120.5425,288.1052
8/11/2024 18:50,765.1394,467.6327,405.2247,143.6239
8/11/2024 18:55,552.2841,319.7434,175.2604,221.4266
8/11/2024 19:00,377.8725,366.7586,302.64,376.1626
8/11/2024 19:05,417.1842,370.1655,245.3522,241.9326
8/11/2024 19:10,419.7415,318.8668,221.4115,114.5527
8/11/2024 19:15,411.1971,420.6007,253.8992,207.7357
8/11/2024 19:20,382.992,572.7782,234.2406,425.7366
8/11/2024 19:25,521.4493,690.7067,321.418,229.0958
8/11/2024 19:30,734.2994,660.7839,147.8857,141.047
8/11/2024 19:35,758.2751,659.9644,446.2454,291.5128
8/11/2024 19:40,754.8922,628.3643,120.5434,379.5833
8/11/2024 19:45,770.277,366.7579,348.8047,226.5521
8/11/2024 19:50,530.0463,366.7578,239.3757,117.1231
8/11/2024 19:55,365.9055,365.9055,233.393,206.8905
8/11/2024 20:00,418.0766,336.8552,246.2292,461.6797
8/11/2024 20:05,212.8681,240.2247,64.9718,37.61525
8/11/2024 20:10,168.409,371.0126,167.5541,33.33984
8/11/2024 20:15,259.871,269.2743,2.564517,82.06454
8/11/2024 20:20,423.1388,141.0463,166.691,164.1266
8/11/2024 20:25,220.5443,160.7067,82.91783,38.46703
8/11/2024 20:30,212.8667,37.61501,54.71273,57.27739
8/11/2024 20:35,66.68034,184.6532,88.05225,81.21323
8/11/2024 20:40,194.9085,241.0711,86.34106,49.582
8/11/2024 20:45,234.242,218.8538,166.7051,162.4306
8/11/2024 20:50,287.2454,135.9286,76.08584,82.07011
