"","hour","treatment","par_mean","par_sd","par_se"
"1","00","all_par_mean_LTVHLV",0,0,0
"2","01","all_par_mean_LTVHLV",0,0,0
"3","02","all_par_mean_LTVHLV",0,0,0
"4","03","all_par_mean_LTVHLV",0,0,0
"5","04","all_par_mean_LTVHLV",0,0,0
"6","05","all_par_mean_LTVHLV",0,0,0
"7","06","all_par_mean_LTVHLV",67.2896269584491,35.4826984002136,2.09083805446567
"8","07","all_par_mean_LTVHLV",79.9491795797454,26.0346228713807,1.5341048648323
"9","08","all_par_mean_LTVHLV",205.100136958912,68.1277107997634,4.01446385776906
"10","09","all_par_mean_LTVHLV",228.920679606481,52.7384541701139,3.10764321441529
"11","10","all_par_mean_LTVHLV",393.642510509259,93.316677268214,5.49873794117922
"12","11","all_par_mean_LTVHLV",426.136368287037,72.9023822410962,4.29581407061107
"13","12","all_par_mean_LTVHLV",765.258535300926,137.980627015583,8.13058641959089
"14","13","all_par_mean_LTVHLV",833.062543055556,37.2195942537707,2.19318562415443
"15","14","all_par_mean_LTVHLV",835.356452662037,35.4504823402573,2.08893970492749
"16","15","all_par_mean_LTVHLV",836.293616550926,34.8676124920039,2.05459376974006
"17","16","all_par_mean_LTVHLV",494.406484027778,148.096646751701,8.72667859909302
"18","17","all_par_mean_LTVHLV",430.053191319444,72.8781298304915,4.29438498361118
"19","18","all_par_mean_LTVHLV",262.099651550926,83.0515791298612,4.89386123258133
"20","19","all_par_mean_LTVHLV",232.4726775,54.3536874687794,3.20282174930569
"21","20","all_par_mean_LTVHLV",107.499250766551,56.7827353455117,3.34595476809437
"22","21","all_par_mean_LTVHLV",84.820643703588,27.4997867328347,1.62044047333094
"23","22","all_par_mean_LTVHLV",14.2655375855324,30.1553871713646,1.77692322984815
"24","23","all_par_mean_LTVHLV",0,0,0
