id,abs_649,abs_665
blk,-0.002,-0.002
blk,0.004,0.003
blk,-0.002,-0.001
32,0.126,0.341
32,0.127,0.347
32,0.123,0.337
33,0.107,0.288
33,0.107,0.288
33,0.101,0.279
34,0.117,0.317
34,0.12,0.322
34,0.119,0.331
35,0.115,0.306
35,0.117,0.31
35,0.116,0.309
36,0.115,0.311
36,0.129,0.349
36,0.13,0.351
37,0.144,0.375
37,0.148,0.384
37,0.145,0.375
38,0.147,0.398
38,0.148,0.402
38,0.151,0.411
39,0.143,0.378
39,0.146,0.383
39,0.142,0.377
40,0.116,0.319
40,0.119,0.32
40,0.12,0.327
41,0.128,0.35
41,0.13,0.354
41,0.129,0.354
42,0.086,0.236
42,0.089,0.241
42,0.089,0.24
43,0.128,0.343
43,0.133,0.352
43,0.126,0.343
44,0.118,0.324
44,0.12,0.326
44,0.119,0.324
45,0.112,0.304
45,0.112,0.303
45,0.112,0.302
46,0.09,0.24
46,0.092,0.244
46,0.088,0.233
47,0.085,0.231
47,0.088,0.24
47,0.084,0.234
48,0.112,0.299
48,0.11,0.294
48,0.115,0.309
49,0.13,0.358
49,0.14,0.384
49,0.139,0.383
50,0.148,0.408
50,0.145,0.403
50,0.15,0.42
51,0.126,0.341
51,0.128,0.343
51,0.129,0.346
52,0.149,0.406
52,0.157,0.422
52,0.155,0.424
53,0.141,0.387
53,0.143,0.39
53,0.143,0.386
54,0.129,0.349
54,0.128,0.345
54,0.126,0.34
55,0.152,0.41
55,0.155,0.417
55,0.157,0.423
56,0.118,0.319
56,0.123,0.325
56,0.126,0.334
57,0.133,0.358
57,0.135,0.365
57,0.133,0.361
58,0.153,0.413
58,0.158,0.426
58,0.154,0.416
59,0.125,0.343
59,0.127,0.343
59,0.121,0.329
60,0.153,0.421
60,0.141,0.39
60,0.15,0.415
